,Washington,Florida,Kentucky,Kansas,North Dakota,New York,Massachusetts,Arizona,Nevada,Pennsylvania,Mississippi,Northern Mariana Islands,Georgia,Texas,Michigan,Arkansas,South Carolina,Maine,New Hampshire,West Virginia,Wisconsin,Vermont,Virginia,Rhode Island,Oklahoma,Montana,New Mexico,Hawaii,Oregon,Colorado,Utah,Connecticut,Louisiana,New Jersey,Wyoming,Ohio,Guam,Nebraska,Minnesota,Illinois,North Carolina,Virgin Islands,Indiana,Maryland,Alaska,Delaware,Idaho,Missouri,District of Columbia,South Dakota,Tennessee,Iowa,Alabama,Puerto Rico,California,date
73,293,169,34,19,3,3716,192,41,43,102,29,1,198,98,478,12,34,9,7,2,50,17,46,14,38,5,10,3,22,110,7,132,370,647,0,91,4,6,22,212,23,0,118,42,2,14,10,36,15,2,38,11,38,15,282,2020-04-03
74,318,194,40,21,3,4535,216,53,46,140,35,1,208,124,541,14,40,10,9,2,60,20,52,17,42,6,11,3,26,126,8,165,412,847,0,102,4,8,24,248,30,0,136,54,3,14,10,44,21,2,47,11,44,18,323,2020-04-04
75,344,220,44,23,3,5335,231,64,46,159,43,1,219,136,617,16,44,10,9,3,73,22,52,25,46,6,12,4,27,140,8,189,477,917,0,119,4,8,29,283,37,0,151,68,4,14,10,52,22,2,50,22,45,20,351,2020-04-05
76,383,253,52,25,3,6149,260,67,58,170,51,1,294,159,727,16,48,10,9,4,83,23,54,27,51,6,12,5,29,150,13,206,512,1005,0,142,4,10,30,309,42,1,171,92,4,15,13,56,24,4,65,25,53,21,386,2020-04-06
77,409,295,66,30,4,7185,356,77,60,241,59,2,348,177,845,18,51,12,13,4,94,23,69,30,67,6,13,5,33,179,13,277,582,1232,0,167,4,12,34,384,50,1,208,104,4,16,15,80,24,6,72,26,64,23,447,2020-04-07
78,430,322,73,38,4,8138,433,80,80,313,67,2,370,195,959,18,63,14,18,4,107,23,60,35,79,6,16,5,38,192,13,335,652,1504,0,193,4,14,39,464,61,1,246,124,5,19,19,86,27,6,83,27,67,24,506,2020-04-08
79,456,370,84,42,5,9166,503,89,82,344,76,2,412,228,1076,21,67,16,21,5,116,23,109,43,80,6,17,6,44,227,13,380,702,1700,0,213,4,15,50,534,74,1,295,139,5,23,24,94,32,6,95,27,78,33,548,2020-04-09
80,483,418,90,50,7,10162,599,97,86,435,82,2,425,249,1280,24,72,17,22,5,131,24,121,49,88,6,19,8,48,253,17,448,755,1932,0,231,4,18,57,607,78,1,353,172,5,32,25,105,38,6,104,31,80,39,594,2020-04-10
81,498,445,94,55,7,11159,686,112,111,515,93,2,432,265,1395,25,80,19,23,6,141,24,130,56,93,6,20,8,51,274,18,494,806,2183,0,247,5,18,64,682,86,1,389,207,6,33,27,116,47,6,107,34,93,42,632,2020-04-11
82,511,460,98,56,8,12116,756,117,113,525,96,2,438,288,1488,27,82,19,23,8,145,26,141,63,96,6,26,9,52,290,18,554,840,2350,0,253,5,18,70,727,86,1,405,236,6,35,27,116,50,6,107,41,93,44,676,2020-04-12
