,Washington,Florida,Kentucky,Kansas,North Dakota,New York,Massachusetts,Arizona,Nevada,Pennsylvania,Mississippi,Northern Mariana Islands,Georgia,Texas,Michigan,Arkansas,South Carolina,Maine,New Hampshire,West Virginia,Wisconsin,Vermont,Virginia,Rhode Island,Oklahoma,Montana,New Mexico,Hawaii,Oregon,Colorado,Utah,Connecticut,Louisiana,New Jersey,Wyoming,Ohio,Guam,Nebraska,Minnesota,Illinois,North Carolina,Virgin Islands,Indiana,Maryland,Alaska,Delaware,Idaho,Missouri,District of Columbia,South Dakota,Tennessee,Iowa,Alabama,Puerto Rico,California,date
148,28270,82711,13190,11801,3170,389910,106151,41159,11852,84387,20641,30,57217,99466,66694,13606,20556,2836,5436,2376,26167,1130,55775,16213,8903,630,10065,732,6235,29658,15464,45429,48746,167703,1114,42422,1157,17226,31328,135416,47142,146,42036,63565,776,10444,3634,17151,9847,6050,32112,24616,27312,6003,163381,2020-06-17
149,28663,85918,13391,11886,3199,390536,106422,43731,12164,84780,21022,30,58040,102677,66980,13928,21548,2878,5450,2418,26611,1135,56238,16269,9354,655,10153,750,6390,29886,16015,45440,49506,168107,1144,43122,1162,17415,31707,136081,48426,147,42480,63839,795,10499,3744,17488,9903,6109,32604,24959,28206,6111,167135,2020-06-18
150,29045,89740,13629,12168,3232,391330,106650,46914,12525,85288,21022,30,59117,107322,67300,14631,22631,2913,5486,2468,26913,1144,56793,16337,9706,666,10260,777,6592,30172,16585,45557,48627,168496,1173,43731,1169,17591,32063,136917,50014,147,42801,64150,821,10611,3871,17780,9952,6158,33603,25424,29002,6195,170843,2020-06-19
151,29466,93789,13800,12218,3257,392037,106936,50198,12977,85678,21022,30,60669,111594,67721,15142,23786,2938,5518,2500,27314,1147,57443,16337,10037,698,10430,791,6682,30334,17173,45715,49497,168834,1179,44262,1191,17707,32499,137535,51640,150,43135,64565,845,10681,4006,18155,9984,6225,34223,25552,29549,6463,174854,2020-06-20
152,29797,97283,13919,12258,3294,392702,107061,52666,13236,86024,21022,30,61493,114886,67873,15561,24693,2957,5544,2543,27598,1159,57994,16337,10515,717,10565,802,6945,30524,17567,45755,49890,169142,1197,44808,1191,17810,32952,138154,52854,152,43496,64903,859,10775,4025,18552,10020,6297,34719,26020,30021,6525,178807,2020-06-21
153,30443,100209,14073,12576,3319,393257,107210,54767,13575,86666,22287,30,62705,119646,68144,16083,25701,2971,5558,2571,27849,1163,58465,16459,10733,734,10694,804,7115,30689,18035,45782,50352,169415,1230,45537,1191,17957,33259,138615,53840,152,43709,65202,869,10820,4267,18733,10058,6326,35255,26217,30454,6564,184620,2020-06-22
154,30778,103495,14323,12659,3326,393855,107439,58397,14058,87283,22898,30,64577,124726,68373,16678,26613,2994,5571,2593,28187,1164,58994,16533,11028,743,10838,807,7317,30877,18454,45899,51708,169734,1254,46127,1194,18091,33501,139282,54826,154,43967,65602,905,10847,4412,19148,10094,6353,36018,26470,31097,6685,191039,2020-06-23
155,31400,109006,14522,13110,3370,394430,107611,60207,14460,87775,23424,30,66290,131310,68711,17375,27897,3017,5598,2629,28652,1184,59514,16606,11509,766,10990,821,7462,31139,18915,45913,52590,169892,1282,46759,1200,18220,33798,140025,56263,158,44260,65934,926,10889,4650,19478,10128,6419,36822,26897,32064,6820,195889,2020-06-24
156,31998,114010,14793,13207,3402,395168,107837,63297,14911,88230,24516,30,67796,136783,69159,18062,29022,3070,5638,2693,29204,1191,59946,16640,11947,803,11192,836,7605,31463,19544,45994,53528,172050,1326,47651,1214,18346,34158,140935,57540,162,44779,66397,971,10980,4869,20076,10159,6479,37695,27384,33206,6877,201413,2020-06-25
157,32489,122952,15033,13729,3430,395972,108070,66676,15359,88950,25066,30,69542,142582,69473,18740,30335,3102,5671,2729,29718,1198,60570,16661,12343,829,11408,850,8008,31780,20218,46059,54882,172438,1368,48638,1217,18524,34651,141812,59257,162,45269,66704,1001,11017,5149,20567,10185,6535,38802,27828,34183,6922,207027,2020-06-26
